geometry,score
POINT (707065.0020715444 3151199.2900104844),-10
POINT (707065.0020715444 3151449.2900104844),-10
POINT (707065.0020715444 3151699.2900104844),-10
POINT (707065.0020715444 3151949.2900104844),-10
POINT (707065.0020715444 3152199.2900104844),-3
POINT (707315.0020715444 3150699.2900104844),-10
POINT (707315.0020715444 3150949.2900104844),-10
POINT (707315.0020715444 3151199.2900104844),-10
POINT (707315.0020715444 3151449.2900104844),-10
POINT (707315.0020715444 3151699.2900104844),-10
POINT (707315.0020715444 3151949.2900104844),-10
POINT (707315.0020715444 3152199.2900104844),-10
POINT (707315.0020715444 3152449.2900104844),-10
POINT (707315.0020715444 3152699.2900104844),-10
POINT (707315.0020715444 3152949.2900104844),-10
POINT (707565.0020715444 3150449.2900104844),-10
POINT (707565.0020715444 3150699.2900104844),-10
POINT (707565.0020715444 3150949.2900104844),-10
POINT (707565.0020715444 3151199.2900104844),-10
POINT (707565.0020715444 3151449.2900104844),-10
POINT (707565.0020715444 3151699.2900104844),0
POINT (707565.0020715444 3151949.2900104844),0
POINT (707565.0020715444 3152199.2900104844),0
POINT (707565.0020715444 3152449.2900104844),-10
POINT (707565.0020715444 3152699.2900104844),-10
POINT (707815.0020715444 3150199.2900104844),-10
POINT (707815.0020715444 3150449.2900104844),-10
POINT (707815.0020715444 3150699.2900104844),-10
POINT (707815.0020715444 3150949.2900104844),-10
POINT (707815.0020715444 3151199.2900104844),-10
POINT (707815.0020715444 3151449.2900104844),0
POINT (707815.0020715444 3151699.2900104844),0
POINT (707815.0020715444 3151949.2900104844),0
POINT (707815.0020715444 3152199.2900104844),0
POINT (707815.0020715444 3152449.2900104844),-10
POINT (707815.0020715444 3152699.2900104844),-10
POINT (708065.0020715444 3149199.2900104844),-10
POINT (708065.0020715444 3149449.2900104844),-10
POINT (708065.0020715444 3149699.2900104844),-10
POINT (708065.0020715444 3149949.2900104844),-10
POINT (708065.0020715444 3150199.2900104844),-10
POINT (708065.0020715444 3150449.2900104844),-10
POINT (708065.0020715444 3150699.2900104844),-10
POINT (708065.0020715444 3150949.2900104844),-10
