geometry,score,showroom_score
POINT (707065.0020715444 3151199.2900104844),-10,-10
POINT (707065.0020715444 3151449.2900104844),-10,-10
POINT (707065.0020715444 3151699.2900104844),-10,-10
POINT (707065.0020715444 3151949.2900104844),-10,-10
POINT (707065.0020715444 3152199.2900104844),-4,26
POINT (707315.0020715444 3150699.2900104844),-10,-10
POINT (707315.0020715444 3150949.2900104844),-10,-10
POINT (707315.0020715444 3151199.2900104844),-4,6
POINT (707315.0020715444 3151449.2900104844),-4,6
POINT (707315.0020715444 3151699.2900104844),1,6
POINT (707315.0020715444 3151949.2900104844),1,6
POINT (707315.0020715444 3152199.2900104844),9,18
POINT (707315.0020715444 3152449.2900104844),4,18
POINT (707315.0020715444 3152699.2900104844),-10,-10
POINT (707315.0020715444 3152949.2900104844),-10,-10
POINT (707565.0020715444 3150449.2900104844),-10,-10
POINT (707565.0020715444 3150699.2900104844),-4,6
POINT (707565.0020715444 3150949.2900104844),-4,6
POINT (707565.0020715444 3151199.2900104844),-4,6
POINT (707565.0020715444 3151449.2900104844),-4,6
POINT (707565.0020715444 3151699.2900104844),11,16
POINT (707565.0020715444 3151949.2900104844),4,28
POINT (707565.0020715444 3152199.2900104844),4,28
POINT (707565.0020715444 3152449.2900104844),1,6
POINT (707565.0020715444 3152699.2900104844),-10,-10
POINT (707815.0020715444 3150199.2900104844),-10,-10
POINT (707815.0020715444 3150449.2900104844),-4,6
POINT (707815.0020715444 3150699.2900104844),-10,-10
POINT (707815.0020715444 3150949.2900104844),1,6
POINT (707815.0020715444 3151199.2900104844),1,6
POINT (707815.0020715444 3151449.2900104844),11,16
POINT (707815.0020715444 3151699.2900104844),11,16
POINT (707815.0020715444 3151949.2900104844),4,28
POINT (707815.0020715444 3152199.2900104844),4,28
POINT (707815.0020715444 3152449.2900104844),1,6
POINT (707815.0020715444 3152699.2900104844),-10,-10
POINT (708065.0020715444 3149199.2900104844),-10,-10
POINT (708065.0020715444 3149449.2900104844),-10,-10
POINT (708065.0020715444 3149699.2900104844),3,12
POINT (708065.0020715444 3149949.2900104844),-4,6
POINT (708065.0020715444 3150199.2900104844),-4,6
POINT (708065.0020715444 3150449.2900104844),-10,-10
POINT (708065.0020715444 3150699.2900104844),-10,-10
POINT (708065.0020715444 3150949.2900104844),1,6
POINT (708065.0020715444 3151199.2900104844),-4,6
POINT (708065.0020715444 3151449.2900104844),11,16
POINT (708065.0020715444 3151699.2900104844),11,16
POINT (708065.0020715444 3151949.2900104844),11,16
POINT (708065.0020715444 3152199.2900104844),1,24
POINT (708065.0020715444 3152449.2900104844),11,17
POINT (708065.0020715444 3152699.2900104844),-10,-10
POINT (708315.0020715444 3148449.2900104844),-10,-10
POINT (708315.0020715444 3148699.2900104844),-10,-10
POINT (708315.0020715444 3148949.2900104844),-10,-10
POINT (708315.0020715444 3149199.2900104844),-10,-10
POINT (708315.0020715444 3149449.2900104844),-10,-10
POINT (708315.0020715444 3149699.2900104844),-10,-10
POINT (708315.0020715444 3149949.2900104844),-10,-10
POINT (708315.0020715444 3150199.2900104844),-10,-10
POINT (708315.0020715444 3150449.2900104844),-10,-10
POINT (708315.0020715444 3150699.2900104844),-4,6
POINT (708315.0020715444 3150949.2900104844),-4,6
POINT (708315.0020715444 3151199.2900104844),11,16
POINT (708315.0020715444 3151449.2900104844),11,16
POINT (708315.0020715444 3151699.2900104844),11,16
POINT (708315.0020715444 3151949.2900104844),11,16
POINT (708315.0020715444 3152199.2900104844),11,16
POINT (708315.0020715444 3152449.2900104844),9,18
POINT (708315.0020715444 3152699.2900104844),-4,6
POINT (708565.0020715444 3147949.2900104844),-4,-1
POINT (708565.0020715444 3148199.2900104844),-4,6
POINT (708565.0020715444 3148449.2900104844),-4,6
POINT (708565.0020715444 3148699.2900104844),-10,-10
